
# Efinity Pinout Report
# Version: 2025.1.110.5.9
# Date: 2025-11-12 23:50

# Copyright (C) 2013 - 2025 Efinix Inc. All rights reserved.

# Device: Ti375C529
# Package status: final
# Project: tools_core
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
A1,GND,,Power,,,,,Ground
A2,GPIOB_P_30_CDI9_PLLIN0,,,4C,1.8 V,,,User IO/PLL_CLKIN
A3,GPIOB_N_32,,,4A_4B,1.8 V,,,User IO
A4,GPIOB_P_32,,,4A_4B,1.8 V,,,User IO
A5,GND,,Power,,,,,Ground
A6,GPIOB_N_35,,,4A_4B,1.8 V,,,User IO
A7,GPIOB_N_38_SSL_N,,,4A_4B,1.8 V,,,User IO/Configuration
A8,GPIOR_170,,Input,BR3_BR4,3.3 V,,weak pullup,User IO
A9,GPIOR_171,,Input,BR3_BR4,3.3 V,,weak pullup,User IO
A10,GND,,Power,,,,,Ground
A11,GPIOR_93_PLLIN1,,Input,TR1,3.3 V,,weak pullup,User IO/PLL_CLKIN
A12,GPIOR_95_CLK12,,Input,TR1,3.3 V,,weak pullup,User IO/GCLK
A13,GPIOR_94,,Input,TR1,3.3 V,,weak pullup,User IO
A14,GPIOT_N_55,,,2E,1.8 V,,,User IO
A15,GND,,Power,,,,,Ground
A16,GPIOT_P_53,,,2E,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
A17,GPIOT_N_53,,,2E,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
A18,GPIOT_P_57,,,2E,1.8 V,,,User IO/VREF
A19,GPIOT_N_57,,,2E,1.8 V,,,User IO
A20,GND,,Power,,,,,Ground
A21,GPIOT_N_33_CLK16_N,,,2C,1.8 V,,,User IO/GCLK
A22,GPIOT_N_26,,,2C,1.8 V,,,User IO
A23,GND,,Power,,,,,Ground
AA1,GND,,Power,,,,,Ground
AA2,DDR0_DQ[7],ddr_inst1.DQ[7],,DDR0,,,,
AA3,VDDQX_PHY_DDR0,,Power,DDR0,,,,
AA4,DDR0_DQS[0],ddr_inst1.DQS[0],,DDR0,,,,
AA5,GND,,Power,,,,,Ground
AA6,DDR0_DQ[15],ddr_inst1.DQ[15],,DDR0,,,,
AA7,DDR0_DQS[1],ddr_inst1.DQS[1],,DDR0,,,,
AA8,DDR0_DQS_N[1],ddr_inst1.DQS_N[1],,DDR0,,,,
AA9,VDDQ_PHY_DDR0,,Power,DDR0,,,,
AA10,GND,,Power,,,,,Ground
AA11,DDR0_CKE[0],ddr_inst1.CKE[0],,DDR0,,,,
AA12,NC,,,,,,,
AA13,DDR0_A[2],ddr_inst1.A[2],,DDR0,,,,
AA14,DDR0_A[3],ddr_inst1.A[3],,DDR0,,,,
AA15,GND,,Power,,,,,Ground
AA16,DDR0_DQ[23],ddr_inst1.DQ[23],,DDR0,,,,
AA17,DDR0_DQS_N[2],ddr_inst1.DQS_N[2],,DDR0,,,,
AA18,VDDQX_PHY_DDR0,,Power,DDR0,,,,
AA19,DDR0_DQ[25],ddr_inst1.DQ[25],,DDR0,,,,
AA20,GND,,Power,,,,,Ground
AA21,DDR0_DQS[3],ddr_inst1.DQS[3],,DDR0,,,,
AA22,DDR0_DQ[31],ddr_inst1.DQ[31],,DDR0,,,,
AA23,VDDQ_PHY_DDR0,,Power,DDR0,,,,
AB1,DDR0_DQ[2],ddr_inst1.DQ[2],,DDR0,,,,
AB2,DDR0_DQ[0],ddr_inst1.DQ[0],,DDR0,,,,
AB3,GND,,Power,,,,,Ground
AB4,DDR0_DQS_N[0],ddr_inst1.DQS_N[0],,DDR0,,,,
AB5,DDR0_DQ[13],ddr_inst1.DQ[13],,DDR0,,,,
AB6,VDDQX_PHY_DDR0,,Power,DDR0,,,,
AB7,DDR0_DM[1],ddr_inst1.DM[1],,DDR0,,,,
AB8,GND,,Power,,,,,Ground
AB9,DDR0_CS_N[2],ddr_inst1.CS_N[2],,DDR0,,,,
AB10,DDR0_CS_N[1],ddr_inst1.CS_N[1],,DDR0,,,,
AB11,DDR0_CK_N,ddr_inst1.CK_N,,DDR0,,,,
AB12,DDR0_A[0],ddr_inst1.A[0],,DDR0,,,,
AB13,GND,,Power,,,,,Ground
AB14,NC,,,,,,,
AB15,DDR0_DM[2],ddr_inst1.DM[2],,DDR0,,,,
AB16,VDDQ_PHY_DDR0,,Power,DDR0,,,,
AB17,DDR0_DQS[2],ddr_inst1.DQS[2],,DDR0,,,,
AB18,GND,,Power,,,,,Ground
AB19,DDR0_DQ[19],ddr_inst1.DQ[19],,DDR0,,,,
AB20,DDR0_DM[3],ddr_inst1.DM[3],,DDR0,,,,
AB21,DDR0_DQS_N[3],ddr_inst1.DQS_N[3],,DDR0,,,,
AB22,GND,,Power,,,,,Ground
AB23,DDR0_DQ[28],ddr_inst1.DQ[28],,DDR0,,,,
AC1,GND,,Power,,,,,Ground
AC2,DDR0_DQ[1],ddr_inst1.DQ[1],,DDR0,,,,
AC3,DDR0_DM[0],ddr_inst1.DM[0],,DDR0,,,,
AC4,VDDQX_PHY_DDR0,,Power,DDR0,,,,
AC5,DDR0_DQ[14],ddr_inst1.DQ[14],,DDR0,,,,
AC6,GND,,Power,,,,,Ground
AC7,DDR0_DQ[8],ddr_inst1.DQ[8],,DDR0,,,,
AC8,DDR0_DQ[10],ddr_inst1.DQ[10],,DDR0,,,,
AC9,GND,,Power,,,,,Ground
AC10,VDDQ_PHY_DDR0,,Power,DDR0,,,,
AC11,DDR0_CK,ddr_inst1.CK,,DDR0,,,,
AC12,GND,,Power,,,,,Ground
AC13,DDR0_A[1],ddr_inst1.A[1],,DDR0,,,,
AC14,NC,,,,,,,
AC15,DDR0_A[4],ddr_inst1.A[4],,DDR0,,,,
AC16,GND,,Power,,,,,Ground
AC17,DDR0_DQ[22],ddr_inst1.DQ[22],,DDR0,,,,
AC18,VDDQX_PHY_DDR0,,Power,DDR0,,,,
AC19,DDR0_DQ[18],ddr_inst1.DQ[18],,DDR0,,,,
AC20,GND,,Power,,,,,Ground
AC21,VDDQX_PHY_DDR0,,Power,DDR0,,,,
AC22,DDR0_DQ[30],ddr_inst1.DQ[30],,DDR0,,,,
AC23,GND,,Power,,,,,Ground
B1,GPIOB_P_21,,,4C,1.8 V,,,User IO
B2,GPIOB_N_30_CDI8,,,4C,1.8 V,,,User IO/PLL_CLKIN
B3,GND,,Power,,,,,Ground
B4,GPIOB_N_31,,,4A_4B,1.8 V,,,User IO
B5,GPIOB_N_34,,,4A_4B,1.8 V,,,User IO
B6,GPIOB_P_35,,,4A_4B,1.8 V,,,User IO
B7,GPIOB_P_38_CDI3,,,4A_4B,1.8 V,,,User IO
B8,GND,,Power,,,,,Ground
B9,GPIOR_168,,Input,BR3_BR4,3.3 V,,weak pullup,User IO
B10,GPIOR_169,,Input,BR3_BR4,3.3 V,,weak pullup,User IO
B11,GPIOR_143_CLK9,,Input,BR0,3.3 V,,weak pullup,User IO/GCLK
B12,GPIOR_96_CLK13,,Input,TR1,3.3 V,,weak pullup,User IO/GCLK
B13,VCCIO33_TR1,,Power,TR1,3.3 V,,,VCCIO Power
B14,GPIOT_P_55,,,2E,1.8 V,,,User IO
B15,GPIOT_P_62_PLLIN0,,,2E,1.8 V,,,User IO/PLL_CLKIN
B16,GPIOT_N_62,,,2E,1.8 V,,,User IO/PLL_CLKIN
B17,GPIOT_N_52,,,2E,1.8 V,,,User IO
B18,VCCIO2E,,Power,2E,1.8 V,,,VCCIO Power
B19,GPIOT_N_54,,,2E,1.8 V,,,User IO
B20,GPIOT_N_51,,,2E,1.8 V,,,User IO
B21,GPIOT_P_33_CLK16_P,,,2C,1.8 V,,,User IO/GCLK
B22,GPIOT_N_27,,,2C,1.8 V,,,User IO
B23,GPIOT_P_26,,,2C,1.8 V,,,User IO
C1,GND,,Power,,,,,Ground
C2,GPIOB_N_21,,,4C,1.8 V,,,User IO
C3,GPIOB_P_27,,,4C,1.8 V,,,User IO
C4,GPIOB_P_31,,,4A_4B,1.8 V,,,User IO
C5,GPIOB_P_34,,,4A_4B,1.8 V,,,User IO
C6,VCCIO4A_4B,,Power,4A_4B,1.8 V,,,VCCIO Power
C7,GPIOB_N_41,,,4A_4B,1.8 V,,,User IO
C8,JTAG_VCCIO_SEL,,Power,4A_4B,1.8 V,,,VCCIO Power
C9,GPIOR_166,,Input,BR3_BR4,3.3 V,,weak pullup,User IO
C10,GPIOR_167,,Input,BR3_BR4,3.3 V,,weak pullup,User IO
C11,VCCIO33_BR0,,Power,BR0,3.3 V,,,VCCIO Power
C12,GPIOR_99,,Input,TR1,3.3 V,,weak pullup,User IO
C13,GPIOR_98,,Input,TR1,3.3 V,,weak pullup,User IO
C14,GPIOR_97,,Input,TR1,3.3 V,,weak pullup,User IO/MIPI_CLKIN
C15,GPIOT_N_59,,,2E,1.8 V,,,User IO/PLL_CLKIN
C16,VCCIO2E,,Power,2E,1.8 V,,,VCCIO Power
C17,GPIOT_P_52,,,2E,1.8 V,,,User IO
C18,GPIOT_N_60,,,2E,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK/PLL_EXTFB
C19,GPIOT_P_54,,,2E,1.8 V,,,User IO
C20,GPIOT_P_51,,,2E,1.8 V,,,User IO
C21,GND,,Power,,,,,Ground
C22,GPIOT_P_27,,,2C,1.8 V,,,User IO
C23,GND,,Power,,,,,Ground
D1,GPIOB_P_20_CLK7_P,,,4C,1.8 V,,,User IO/GCLK/Configuration
D2,GPIOB_N_20_CLK7_N,,,4C,1.8 V,,,User IO/GCLK/Configuration
D3,GPIOB_N_27,,,4C,1.8 V,,,User IO
D4,VCCIO4A_4B,,Power,4A_4B,1.8 V,,,VCCIO Power
D5,GPIOB_N_37_CDI4,,,4A_4B,1.8 V,,,User IO
D6,GPIOB_P_37_CDI5,,,4A_4B,1.8 V,,,User IO/VREF
D7,GPIOB_P_41,,,4A_4B,1.8 V,,,User IO
D8,GPIOB_N_44_CLK11_N,,,4A_4B,1.8 V,,,User IO/GCLK
D9,VCCIO33_BR3_BR4,,Power,BR3_BR4,3.3 V,,,VCCIO Power
D10,GPIOR_144,,Input,BR0,3.3 V,,weak pullup,User IO/PCIE_PERSTN
D11,GPIOR_142_CLK8,,Input,BR0,3.3 V,,weak pullup,User IO/GCLK
D12,GPIOR_100,,Input,TR1,3.3 V,,weak pullup,User IO
D13,GPIOR_102,,Input,TR2,3.3 V,,weak pullup,User IO
D14,GND,,Power,,,,,Ground
D15,GPIOT_P_59_PLLIN0,,,2E,1.8 V,,,User IO/PLL_CLKIN
D16,GPIOT_P_58,,,2E,1.8 V,,,User IO
D17,GPIOT_N_58,,,2E,1.8 V,,,User IO
D18,GPIOT_P_60_EXTFB,,,2E,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK/PLL_EXTFB
D19,GND,,Power,,,,,Ground
D20,GPIOT_N_36_CLK19_N,,,2C,1.8 V,,,User IO/GCLK
D21,GPIOT_N_29,,,2C,1.8 V,,,User IO
D22,GPIOT_P_25,,,2C,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
D23,GPIOT_N_25,,,2C,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
E1,GPIOB_P_18_CLK5_P,,,4C,1.8 V,,,User IO/GCLK
E2,VCCIO4C,,Power,4C,1.8 V,,,VCCIO Power
E3,GPIOB_P_24_CDI15,,,4C,1.8 V,,,User IO
E4,GPIOB_N_36_CDI6,,,4A_4B,1.8 V,,,User IO
E5,GPIOB_P_36_CDI7,,,4A_4B,1.8 V,,,User IO
E6,GPIOB_N_42,,,4A_4B,1.8 V,,,User IO
E7,GND,,Power,,,,,Ground
E8,GPIOB_P_44_CLK11_P,,,4A_4B,1.8 V,,,User IO/GCLK
E9,GPIOR_165_PLLIN1,,Input,BR3_BR4,3.3 V,,weak pullup,User IO/PLL_CLKIN
E10,GPIOR_145_PLLIN1,,Input,BR0,3.3 V,,weak pullup,User IO/PLL_CLKIN
E11,GPIOR_140_PLLIN1,,Input,BR0,3.3 V,,weak pullup,User IO/PLL_CLKIN
E12,GND,,Power,,,,,Ground
